id;user_type;item_type;description;created_by;created_date;modified_by;modified_date;my_post_status;active
1;RECEIVER;FOOD;COM Cambridgeshire;86634;2020-06-21;14456;2020-06-21;AVAILABLE;false
2;RECEIVER;CLOTHS;visionary Euro;49234;2020-06-21;89818;2020-06-20;COMPLETED;false
3;RECEIVER;BOOKS;Iowa;59696;2020-06-21;8734;2020-06-20;UNAVAILABLE;false
4;VOLUNTEER;CLOTHS;SAS Rubber strategize;70145;2020-06-21;77236;2020-06-21;UNAVAILABLE;true
5;RECEIVER;BOOKS;innovative cross-platform Avon;6970;2020-06-21;33930;2020-06-21;COMPLETED;true
6;VOLUNTEER;CLOTHS;Handmade SDD;323;2020-06-21;95166;2020-06-21;COMPLETED;false
7;RECEIVER;CLOTHS;Auto Loan Account;36411;2020-06-21;79088;2020-06-21;UNAVAILABLE;false
8;VOLUNTEER;BOOKS;Ergonomic Soft Salad;59278;2020-06-20;98152;2020-06-21;COMPLETED;false
9;RECEIVER;FOOD;methodologies deposit;42218;2020-06-21;94973;2020-06-21;AVAILABLE;false
10;VOLUNTEER;BOOKS;Tasty SAS;73212;2020-06-21;27923;2020-06-21;UNAVAILABLE;true
